nid,title,uuid,field_leg_hosting_site_value,field_leg_hosting_master_stage_value,HMS_UUID,HMS_Value,Acquia_Hosting_Product,field_leg_remote_admin_value,field_active_value,field_ra_pref_update_value,RA_Pref_Update_UUID,date,docroot,realm,prod_env_core,ra_env_core,Prod Formatted Version,RA Formatted Version,Prod Major Version,Prod Release,Prod Secure,RA Major Version,RA Release,RA Secure,Prod Current,RA Current,RA Pref
8553296,dxMultiSite,ac0a221f-67f4-4219-9dd2-942aa1f2d28e,dxmultisite,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,dxmultisite,prod,918,918,9.1.8,9.1.8,9.x,2021-05-05,0,9.x,2021-05-05,0,,,Update
8553706,nationalsept2,35822b88-2e68-455a-9795-e2e09dd7ab4a,nationalsept2,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,nationalsept2,prod,8714,8916,8.7.14,8.9.16,8.x,2020-05-20,0,8.x,2021-05-26,1,,x,Update
8553996,TIM Brasil,04e88dc6-9a44-48f5-bf71-2e4af1f5bbc6,timbrasil,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,timbrasil,prod,918,919,9.1.8,9.1.9,9.x,2021-05-05,0,9.x,2021-05-26,1,,,Update
8554841,pfibranceca,81d57db2-152e-45d8-ae7d-f7ae93d20496,pfibranceca,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,none,81d57db2-152e-45d8-ae7d-f7ae93d20496,2021-06-08,pfibranceca,prod,111,111,1.1.1,1.1.1,,,0,,,0,,,
8555131,Aman Group UK,a90cb5e6-f659-4de3-90ad-75b8dde3a8fd,amanresorts,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,amanresorts,prod,774,780,7.74,7.80,7.x,2020-11-18,0,7.x,2021-04-21,1,,,Update
8555311,Wheel of Fortune,560a0e31-b3ca-4e08-b2bb-13ac5daad94b,wheeloffortune,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,wheeloffortune,prod,8913,333,8.9.13,3.3.3,8.x,2021-01-21,0,,,0,,,Update
8555481,pfpatientnavig,51142b3c-1192-4009-ba5f-e9b0668cd111,pfpatientnavig,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,none,51142b3c-1192-4009-ba5f-e9b0668cd111,2021-06-08,pfpatientnavig,prod,111,111,1.1.1,1.1.1,,,0,,,0,,,
8555821,pfpristiqcomhk,c17aa2b8-20c0-4a95-a851-81d792b3cc58,pfpristiqcomhk,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,none,c17aa2b8-20c0-4a95-a851-81d792b3cc58,2021-06-08,pfpristiqcomhk,prod,111,111,1.1.1,1.1.1,,,0,,,0,,,
8555831,Agility Recovery,c16e141d-f8f2-44bf-944c-5e2ef491ffee,agilrecocloud,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,agilrecocloud,prod,8914,8914,8.9.14,8.9.14,8.x,2021-04-21,0,8.x,2021-04-21,0,,,Update
8555926,(add)ventures CVS Hub,d4195387-95f4-4ec0-a480-fecfa772e144,cvshub,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,cvshub,prod,8916,111,8.9.16,1.1.1,8.x,2021-05-26,1,,,0,x,,Update
